CVE ID,Ransomware Group Association,,,,,
CVE-2020-0796,"BlueSky, Buran, Conti, Netwalker (MailTo), Petya, Zeppelin",,,,,
CVE-2020-0968,Magniber,,,,,
CVE-2020-1210,Zeppelin,,,,,
CVE-2020-12271,Unidentified,,,,,
CVE-2020-12812,"Hive, Play",,,,,
CVE-2020-13671,Ryuk,,,,,
CVE-2020-1472,"Babuk, DarkSide, Black Basta, Clop, Conti, CryptoMix, Cuba, Epsilon Red, REvil (Sodinokibi), Ryuk, Thanos",,,,,
CVE-2020-14882,Unidentified,,,,,
CVE-2020-16875,Zeppelin,,,,,
CVE-2020-16896,"Egregor, Maze, REvil (Sodinokibi)",,,,,
CVE-2020-17144,IsaacWiper,,,,,
CVE-2020-2021,REvil (Sodinokibi),,,,,
CVE-2020-2509,"Qlocker, QNAPCrypt ",,,,,
CVE-2020-28949,Ryuk,,,,,
CVE-2020-3153,OldGremlin,,,,,
CVE-2020-3433,OldGremlin,,,,,
CVE-2020-36193,Ryuk,,,,,
CVE-2020-36195,"GandCrab, Qlocker, QNAPCrypt, Ryuk",,,,,
CVE-2020-36198,Unidentified,,,,,
CVE-2020-3992,"Darkside, ESXiArgs",,,,,
CVE-2020-5135,Babuk,,,,,
CVE-2020-5902,"Pay2Key, REvil (Sodinokibi)",,,,,
CVE-2020-8195,Unidentified,,,,,
CVE-2020-8196,Unidentified,,,,,
CVE-2020-8243,Unidentified,,,,,****
CVE-2020-8260,Unidentified,,,,,
CVE-2020-8269,Nefilim (Nemty),,,,,
CVE-2020-8270,Nefilim (Nemty),,,,,
CVE-2020-8283,Nefilim (Nemty),,,,,
CVE-2021-0604,Unidentified,,,,,
CVE-2021-1636,HermeticWiper,,,,,
CVE-2021-1675,"Conti, LockFile, Magniber, Ransom Cartel, Vice Society",,,,,
CVE-2021-1732,"BlueSky, Conti",,,,,
CVE-2021-20016,"DarkSide, HelloKitty (FiveHands)",,,,,
CVE-2021-20021,HelloKitty (FiveHands),,,,,
CVE-2021-20022,HelloKitty (FiveHands),,,,,
CVE-2021-20023,HelloKitty (FiveHands),,,,,
CVE-2021-20028,LockBit,,,,,
CVE-2021-20038,"H0lyGh0st, Maui",,,,,
CVE-2021-20655,Unidentified,,,,,
CVE-2021-21972,"Conti, Memento",,,,,
CVE-2021-21974,ESXiArgs,,,,,
CVE-2021-21985,Conti,,,,,
CVE-2021-22005,Conti,,,,,
CVE-2021-22205,Cerber,,,,,
CVE-2021-22893,Unidentified,,,,,
CVE-2021-22941,Unidentified,,,,,
CVE-2021-22986,LockBit,,,,,
CVE-2021-26084,"AtomSilo, Cerber, Khonsari, LockFile, Night Sky, Rook",,,,,
CVE-2021-26085,Unidentified,,,,,
CVE-2021-26411,"Cerber, Magniber",,,,,
CVE-2021-26855,"AvosLocker, Black Kingdom, Conti, DearCry, Epsilon Red, HermeticWiper, Hive, HomeLand Justice, Nemesis Kitten ",,,,,
CVE-2021-26857,"Black Kingdom, DearCry, Nemesis Kitten",,,,,
CVE-2021-26858,"Black Kingdom, DearCry, Nemesis Kitten",,,,,
CVE-2021-27065,"Babuk, BlackByte, Black Kingdom, DearCry, Epsilon Red, Hive, Nemesis Kitten",,,,,
